UID,Month,Longitude,Latitude,Crime_type
15053,2020-01,-0.123342,51.528137,Theft from the person
15082,2020-01,-0.128999,51.527292,Theft from the person
15083,2020-01,-0.124847,51.527639,Theft from the person
15084,2020-01,-0.126924,51.527978,Theft from the person
15085,2020-01,-0.124836,51.527909,Theft from the person
15086,2020-01,-0.126924,51.527978,Theft from the person
15104,2020-01,-0.125905,51.527143,Theft from the person
15105,2020-01,-0.125078,51.526573,Theft from the person
15106,2020-01,-0.125078,51.526573,Theft from the person
15251,2020-01,-0.130717,51.519828,Theft from the person
15252,2020-01,-0.131487,51.517233,Theft from the person
15253,2020-01,-0.128233,51.520292,Theft from the person
15254,2020-01,-0.134487,51.519987,Theft from the person
15255,2020-01,-0.131487,51.517233,Theft from the person
15256,2020-01,-0.13202,51.518635,Theft from the person
15257,2020-01,-0.130625,51.51926,Theft from the person
15258,2020-01,-0.131387,51.522123,Theft from the person
15259,2020-01,-0.134487,51.519987,Theft from the person
15260,2020-01,-0.131148,51.522686,Theft from the person
15261,2020-01,-0.131487,51.517233,Theft from the person
15262,2020-01,-0.13202,51.518635,Theft from the person
15263,2020-01,-0.128233,51.520292,Theft from the person
15264,2020-01,-0.134487,51.519987,Theft from the person
15265,2020-01,-0.131487,51.517233,Theft from the person
15266,2020-01,-0.131148,51.522686,Theft from the person
15267,2020-01,-0.131487,51.517233,Theft from the person
15268,2020-01,-0.131487,51.517233,Theft from the person
15269,2020-01,-0.13202,51.518635,Theft from the person
15270,2020-01,-0.131487,51.517233,Theft from the person
15271,2020-01,-0.131487,51.517233,Theft from the person
15272,2020-01,-0.133492,51.522112,Theft from the person
15273,2020-01,-0.130717,51.519828,Theft from the person
15274,2020-01,-0.128233,51.520292,Theft from the person
15275,2020-01,-0.132752,51.520113,Theft from the person
15276,2020-01,-0.131487,51.517233,Theft from the person
15277,2020-01,-0.131487,51.517233,Theft from the person
15278,2020-01,-0.132752,51.520113,Theft from the person
15279,2020-01,-0.130625,51.51926,Theft from the person
15280,2020-01,-0.133473,51.518353,Theft from the person
15281,2020-01,-0.130717,51.519828,Theft from the person
15323,2020-01,-0.143078,51.523883,Theft from the person
15324,2020-01,-0.138717,51.521592,Theft from the person
15325,2020-01,-0.138717,51.521592,Theft from the person
15326,2020-01,-0.13801,51.520196,Theft from the person
15327,2020-01,-0.138342,51.522315,Theft from the person
15328,2020-01,-0.13801,51.520196,Theft from the person
15329,2020-01,-0.143078,51.523883,Theft from the person
15330,2020-01,-0.139515,51.522189,Theft from the person
15331,2020-01,-0.135623,51.52005,Theft from the person
15332,2020-01,-0.139257,51.522842,Theft from the person
15405,2020-01,-0.129594,51.524388,Theft from the person
15406,2020-01,-0.126641,51.52363,Theft from the person
15407,2020-01,-0.129594,51.524388,Theft from the person
15408,2020-01,-0.129594,51.524388,Theft from the person
15409,2020-01,-0.131804,51.526374,Theft from the person
15410,2020-01,-0.132426,51.525971,Theft from the person
15411,2020-01,-0.132426,51.525971,Theft from the person
15412,2020-01,-0.129594,51.524388,Theft from the person
15413,2020-01,-0.129994,51.526588,Theft from the person
15414,2020-01,-0.129994,51.526588,Theft from the person
15415,2020-01,-0.131804,51.526374,Theft from the person
15416,2020-01,-0.132426,51.525971,Theft from the person
15417,2020-01,-0.132189,51.525418,Theft from the person
15418,2020-01,-0.132426,51.525971,Theft from the person
15419,2020-01,-0.131804,51.526374,Theft from the person
15420,2020-01,-0.126512,51.523943,Theft from the person
15421,2020-01,-0.126641,51.52363,Theft from the person
15422,2020-01,-0.131804,51.526374,Theft from the person
15423,2020-01,-0.131804,51.526374,Theft from the person
15533,2020-01,-0.137928,51.524682,Theft from the person
15534,2020-01,-0.137928,51.524682,Theft from the person
15535,2020-01,-0.131296,51.523992,Theft from the person
15536,2020-01,-0.133503,51.520799,Theft from the person
15537,2020-01,-0.137928,51.524682,Theft from the person
15538,2020-01,-0.134791,51.521017,Theft from the person
15539,2020-01,-0.137928,51.524682,Theft from the person
15540,2020-01,-0.137252,51.523233,Theft from the person
15541,2020-01,-0.135759,51.522732,Theft from the person
15542,2020-01,-0.137252,51.523233,Theft from the person
15543,2020-01,-0.137252,51.523233,Theft from the person
15544,2020-01,-0.137922,51.523423,Theft from the person
15545,2020-01,-0.134791,51.521017,Theft from the person
15546,2020-01,-0.137928,51.524682,Theft from the person
15547,2020-01,-0.135448,51.522224,Theft from the person
15548,2020-01,-0.136933,51.524693,Theft from the person
15549,2020-01,-0.138388,51.523664,Theft from the person
15550,2020-01,-0.131296,51.523992,Theft from the person
15551,2020-01,-0.137922,51.523423,Theft from the person
15552,2020-01,-0.135759,51.522732,Theft from the person
15553,2020-01,-0.136795,51.522416,Theft from the person
15554,2020-01,-0.137252,51.523233,Theft from the person
15555,2020-01,-0.131296,51.523992,Theft from the person
15556,2020-01,-0.137922,51.523423,Theft from the person
15557,2020-01,-0.139226,51.523606,Theft from the person
15558,2020-01,-0.135448,51.522224,Theft from the person
15559,2020-01,-0.137252,51.523233,Theft from the person
15560,2020-01,-0.139226,51.523606,Theft from the person
15561,2020-01,-0.136795,51.522416,Theft from the person
15562,2020-01,-0.136933,51.524693,Theft from the person
15563,2020-01,-0.135448,51.522224,Theft from the person
15564,2020-01,-0.134056,51.521024,Theft from the person
15594,2020-01,-0.119185,51.521604,Theft from the person
15595,2020-01,-0.11967,51.522071,Theft from the person
15630,2020-01,-0.109836,51.522147,Theft from the person
15631,2020-01,-0.111901,51.522414,Theft from the person
15653,2020-01,-0.110608,51.518823,Theft from the person
15671,2020-01,-0.116471,51.523449,Theft from the person
15672,2020-01,-0.114458,51.523678,Theft from the person
15673,2020-01,-0.114248,51.521768,Theft from the person
15789,2020-01,-0.125389,51.519716,Theft from the person
15790,2020-01,-0.129682,51.516952,Theft from the person
15791,2020-01,-0.127781,51.517974,Theft from the person
15792,2020-01,-0.125389,51.519716,Theft from the person
15793,2020-01,-0.127781,51.517974,Theft from the person
15794,2020-01,-0.127781,51.517974,Theft from the person
15795,2020-01,-0.127596,51.517207,Theft from the person
15796,2020-01,-0.12472,51.523357,Theft from the person
15797,2020-01,-0.128965,51.519333,Theft from the person
15798,2020-01,-0.129686,51.516512,Theft from the person
